Spanish with frequency,Spanish,English
saben 79988,saben ,They know
sentido 79686,sentido ,sense
hagas 79398,hagas ,you do
segura 79393,segura ,safe
esperar 79115,esperar ,wait
lejos 79091,lejos ,far
arma 78974,arma ,weapon
alto 78496,alto ,high
pequeña 78191,pequeña ,small
dólares 77319,dólares ,Dollars
seis 77064,seis ,six
estaban 76916,estaban ,were
seguridad 76807,seguridad ,security
maldita 76765,maldita ,damned
estuvo 76639,estuvo ,was
preocupes 76606,preocupes ,worry
palabra 76589,palabra ,word
esperando 76353,esperando ,expecting
queda 76150,queda ,is left over
oficina 75697,oficina ,office
matar 75652,matar ,kill
iré 75521,iré ,I will go
cama 75441,cama ,bed
además 75259,además ,besides
último 75205,último ,last
oído 75123,oído ,ear
habría 74848,habría ,there would be
estará 74836,estará ,will be
dio 74745,dio ,gave
recuerdo 74344,recuerdo ,memory
siendo 74265,siendo ,being
acerca 74051,acerca ,about
tenga 73994,tenga ,have
luz 73886,luz ,light
correcto 73881,correcto ,Right
ud. 73708,ud. ,You.
demonios 73485,demonios ,demons
nuestras 73354,nuestras ,ours
verte 73227,verte ,to see you
dormir 73064,dormir ,to sleep
sitio 73036,sitio ,place
ayudar 72837,ayudar ,help
conseguir 72697,conseguir ,get
di 72555,di ,gave
marido 72210,marido ,husband
paz 72000,paz ,peace
idiota 71856,idiota ,moron
plan 71640,plan ,plan
dado 71249,dado ,given
cuanto 71197,cuanto ,how much
peor 70692,peor ,worse
murió 70466,murió ,died
pueblo 70465,pueblo ,town
vivo 70329,vivo ,alive
venido 70151,venido ,I come
john 69978,john ,John
basta 69973,basta ,Enough
paso 69865,paso ,He passed
deberíamos 69574,deberíamos ,we should
música 69241,música ,music
diga 68941,diga ,Say
minuto 68878,minuto ,minute
anoche 68870,anoche ,last night
llamar 68861,llamar ,call
piensa 68552,piensa ,think
país 68539,país ,country
digas 68227,digas ,you say
rey 67803,rey ,king
perdón 67516,perdón ,sorry
mucha 67426,mucha ,a lot
falta 67152,falta ,lack
pienso 67140,pienso ,I think
diablos 67119,diablos ,Devils
perdido 66882,perdido ,lost
niña 66672,niña ,girl
señorita 66491,señorita ,Miss
diez 66429,diez ,ten
lleva 66407,lleva ,carry
hospital 66316,hospital ,hospital
grandes 66186,grandes ,big
maldito 66025,maldito ,damned
otras 65924,otras ,others
llamado 65650,llamado ,called
hacemos 65535,hacemos ,we make
llevar 65446,llevar ,carry
fuego 65442,fuego ,fire
aqui 65202,aqui ,here
tuvo 65130,tuvo ,had
poner 64740,poner ,put
calle 64675,calle ,street
acaba 64600,acaba ,just
prueba 64593,prueba ,proof
increíble 64527,increíble ,amazing
real 64511,real ,real
libro 64445,libro ,book
orden 64437,orden ,order
semanas 64300,semanas ,weeks
especial 64240,especial ,special
mía 64132,mía ,mine
café 63914,café ,coffee
duro 63800,duro ,Lasted
empezar 63463,empezar ,begin
afuera 63387,afuera ,outside
queremos 63319,queremos ,we want
perro 63070,perro ,dog
cielo 62981,cielo ,darling
jack 62965,jack ,Jack
puesto 62949,puesto ,Market Stall
viaje 62667,viaje ,trip
detrás 62621,detrás ,behind
cuarto 62590,cuarto ,room
querida 62549,querida ,Dear
haría 62547,haría ,would do
preguntas 62505,preguntas ,questions
piensas 62433,piensas ,You think
querido 62425,querido ,my love
libre 62421,libre ,free
buscar 62319,buscar ,look for
cual 62288,cual ,which
diré 62193,diré ,I will say
suena 62170,suena ,it sounds
jugar 62132,jugar ,play
cambio 62106,cambio ,change
película 61985,película ,movie
millones 61876,millones ,millions
habrá 61821,habrá ,there will be
llamada 61791,llamada ,call
resto 61752,resto ,rest
vemos 61545,vemos ,we see
extraño 61249,extraño ,strange
mala 61177,mala ,bad
presidente 61090,presidente ,President
srta. 60636,srta. ,Ms.
irme 60622,irme ,Go
ropa 60542,ropa ,clothing
perder 60378,perder ,to lose
vuelve 60172,vuelve ,returns
agente 60171,agente ,agent
palabras 60090,palabras ,words
información 60090,información ,information
raro 60086,raro ,weird
hará 59965,hará ,will do
entiendes 59914,entiendes ,You understand
éste 59792,éste ,this
trabajando 59674,trabajando ,working
tratando 59643,tratando ,treating
general 59593,general ,general
trato 59469,trato ,deal
usar 59267,usar ,wear
perfecto 59208,perfecto ,perfect
derecho 59164,derecho ,right
modo 59041,modo ,mode
ayer 59013,ayer ,Yesterday
conoces 58941,conoces ,you know
demás 58811,demás ,the rest
quieras 58704,quieras ,You want
podríamos 58548,podríamos ,we could
noticias 58530,noticias ,news
asesino 58507,asesino ,assassin
encontrado 57581,encontrado ,found
control 57479,control ,control
odio 57427,odio ,hatred
frente 57371,frente ,forehead
sexo 57281,sexo ,sex
decirle 57135,decirle ,Tell him
estaré 57085,estaré ,I will be
divertido 56908,divertido ,fun
armas 56785,armas ,weapons
recuerdas 56669,recuerdas ,remember
amiga 56665,amiga ,friend
grupo 56638,grupo ,group
asunto 56622,asunto ,affair
acabo 56586,acabo ,just
mensaje 56126,mensaje ,message
encima 56110,encima ,on
atención 56092,atención ,attention
diferente 56028,diferente ,different
uh 55996,uh ,UH
cállate 55856,cállate ,be quiet
daño 55599,daño ,damage
sucede 55572,sucede ,happens
cambiar 55360,cambiar ,change
siguiente 55300,siguiente ,Next
sino 55136,sino ,otherwise
the 54966,the ,The
seas 54799,seas ,You are
médico 54547,médico ,doctor
boca 54512,boca ,mouth
dejó 54435,dejó ,let
error 54414,error ,mistake
jamás 54158,jamás ,Never
largo 53833,largo ,long
pena 53618,pena ,pain
voz 53574,voz ,voice
futuro 53557,futuro ,future
siente 53518,siente ,Feel
secreto 53504,secreto ,secret
baño 53455,baño ,bathroom
mil 53364,mil ,one thousand
decirte 53207,decirte ,tell you
sam 53082,sam ,Sam
pensaba 53018,pensaba ,thought
novia 52984,novia ,fiancee
propia 52973,propia ,own
sueño 52956,sueño ,dream
haz 52344,haz ,beam
fuerza 52316,fuerza ,force
deben 52297,deben ,They must
supone 52250,supone ,It supposes
estábamos 52003,estábamos ,We were
ambos 51916,ambos ,both of them
ay 51890,ay ,Oh
estuve 51592,estuve ,was
encontré 51507,encontré ,I found
vuelto 51505,vuelto ,turned
dolor 51283,dolor ,pain
dile 51271,dile ,tell him
encanta 51240,encanta ,loves
edad 51163,edad ,age
darle 51120,darle ,give him
pie 51066,pie ,foot
negro 50987,negro ,black
ganar 50970,ganar ,gain
york 50964,york ,York
aire 50788,aire ,air
lamento 50766,lamento ,lament
verlo 50765,verlo ,see him
asesinato 50759,asesinato ,murder
vio 50756,vio ,he saw
adónde 50674,adónde ,where to
llegado 50534,llegado ,arrived
disculpe 50520,disculpe ,excuse me
s 50469,s ,s
cita 50399,cita ,appointment
estaría 50270,estaría ,It would
fuiste 50201,fuiste ,you were
sistema 50050,sistema ,system
gusto 50039,gusto ,taste
pobre 50019,pobre ,poor
negocio 49896,negocio ,business
mente 49842,mente ,mind
tuyo 49799,tuyo ,yours
campo 49614,campo ,field
mire 49575,mire ,Look
situación 49426,situación ,situation
tras 49345,tras ,after
hotel 49177,hotel ,hotel
vosotros 49111,vosotros ,you
funciona 48956,funciona ,works
foto 48915,foto ,Photo
abogado 48914,abogado ,lawyer
loca 48859,loca ,crazy
propio 48844,propio ,own
alrededor 48767,alrededor ,around
próxima 48701,próxima ,next
terminado 48673,terminado ,finished
hablas 48652,hablas ,speak
pagar 48636,pagar ,to pay
mató 48583,mató ,killed
llamo 48473,llamo ,called
personal 48419,personal ,staff
sientes 48410,sientes ,you feel
ocurre 48364,ocurre ,occurs
ésta 48338,ésta ,is
recuerda 48335,recuerda ,remember
mitad 48317,mitad ,half
quiera 48299,quiera ,want
pelo 48293,pelo ,hair
tenías 48183,tenías ,You had
viste 47962,viste ,dresses
oficial 47960,oficial ,official
llegó 47852,llegó ,arrive
compañía 47842,compañía ,company
relación 47824,relación ,relationship
conoce 47688,conoce ,known
pase 47622,pase ,happens
montón 47610,montón ,lot
mejores 47509,mejores ,top
creí 47494,creí ,I believed
cena 47357,cena ,Dinner
sentir 47337,sentir ,to feel
través 47295,través ,through
accidente 47117,accidente ,accident
i 46981,i ,Yo
ellas 46892,ellas ,they
caja 46635,caja ,cash register
tranquilo 46587,tranquilo ,don't worry
bonito 46554,bonito ,pretty
eras 46544,eras ,ages
asi 46535,asi ,So
pudo 46533,pudo ,could
vive 46462,vive ,it lives
vista 46461,vista ,sight
estúpido 46441,estúpido ,idiot
línea 46341,línea ,line
caballeros 46158,caballeros ,gentlemen
haremos 46119,haremos ,will
dan 46063,dan ,give
quédate 46054,quédate ,stay
tienda 45913,tienda ,store
comprar 45899,comprar ,buy
entendido 45877,entendido ,understood
centro 45864,centro ,hub
salvo 45755,salvo ,except
mes 45648,mes ,month
joe 45615,joe ,Joe
sol 45567,sol ,sun
tonto 45479,tonto ,silly
hambre 45455,hambre ,hunger
michael 45411,michael ,Michael
mesa 45409,mesa ,desk
respuesta 45345,respuesta ,answer
completamente 45342,completamente ,completely
david 45220,david ,David
carta 45152,carta ,letter
totalmente 45016,totalmente ,completely
imposible 44898,imposible ,impossible
pruebas 44861,pruebas ,testing
novio 44832,novio ,boyfriend
normal 44793,normal ,normal
gustan 44761,gustan ,like
frank 44615,frank ,Frank
pude 44614,pude ,could
charlie 44589,charlie ,Charlie
traje 44234,traje ,costume
dirección 44229,dirección ,address
siete 44169,siete ,seven
dijeron 44151,dijeron ,They said
placer 44038,placer ,pleasure
sean 43979,sean ,Sean
tendrá 43656,tendrá ,will have
barco 43597,barco ,boat
blanco 43530,blanco ,white
tom 43467,tom ,Tom
profesor 43370,profesor ,teacher
servicio 43358,servicio ,service
muchacho 43295,muchacho ,young guy
reunión 43217,reunión ,meeting
dejado 43162,dejado ,left
ley 43043,ley ,law
quisiera 42974,quisiera ,I'd like
hubo 42830,hubo ,there was
george 42765,george ,George
programa 42763,programa ,Program
carrera 42759,carrera ,career
cumpleaños 42596,cumpleaños ,birthday
muchachos 42571,muchachos ,boys
culo 42470,culo ,ass
canción 42468,canción ,song
hermosa 42438,hermosa ,beautiful
universidad 42412,universidad ,college
boda 42403,boda ,wedding
decirme 42378,decirme ,Tell me
cualquiera 42369,cualquiera ,any
tengas 42271,tengas ,Have
hacía 42256,hacía ,toward
estés 42240,estés ,be
sala 42122,sala ,hall
llevo 42084,llevo ,wear
decisión 42011,decisión ,decision
espere 42008,espere ,Wait
don 41978,don ,Don
necesario 41752,necesario ,necessary
sal 41725,sal ,Salt
entra 41706,entra ,enters
prisa 41706,prisa ,hurry
carajo 41656,carajo ,fuck
embargo 41642,embargo ,embargo
interesante 41640,interesante ,interesting
tendrás 41583,tendrás ,you will have
escuchar 41472,escuchar ,to listen
abuela 41377,abuela ,grandmother
hicieron 41321,hicieron ,they made
detective 41299,detective ,detective
horrible 41259,horrible ,awful
suelo 41247,suelo ,floor
fotos 41245,fotos ,Photos
cárcel 41152,cárcel ,jail
acá 41151,acá ,here
io 41134,io ,Io
mike 41066,mike ,Mike
siéntate 40993,siéntate ,Sit down
decía 40982,decía ,He said
intentando 40706,intentando ,trying
vámonos 40700,vámonos ,Let's go
maldición 40681,maldición ,curse
silencio 40675,silencio ,silence
muerta 40660,muerta ,dead
capaz 40541,capaz ,able
salió 40377,salió ,he left
club 40360,club ,club
terminar 40338,terminar ,end up
temo 40288,temo ,I fear
broma 40281,broma ,joke
gobierno 40236,gobierno ,government
prometo 40224,prometo ,I promise
cámara 40045,cámara ,camera
media 39998,media ,half
terrible 39993,terrible ,terrible
llamó 39922,llamó ,called
regalo 39903,regalo ,gift
amable 39841,amable ,gentle
dulce 39818,dulce ,candy
muertos 39809,muertos ,dead
querías 39797,querías ,You wanted
ataque 39782,ataque ,stroke
das 39589,das ,you give
navidad 39589,navidad ,Christmas
negocios 39553,negocios ,business
pudiera 39528,pudiera ,could
ocho 39524,ocho ,eight
avión 39484,avión ,airplane
investigación 39465,investigación ,research
acabó 39429,acabó ,just
juro 39329,juro ,I swear
mantener 39327,mantener ,keep
ejército 39290,ejército ,army
papel 39262,papel ,paper
partes 39255,partes ,Parties
ten 39243,ten ,Ten
gracioso 39166,gracioso ,funny
diría 39163,diría ,would say
principio 39155,principio ,beginning
delante 38898,delante ,in front of
teniente 38628,teniente ,lieutenant
deseo 38627,deseo ,desire
vayas 38593,vayas ,go
nave 38459,nave ,ship
sale 38407,sale ,comes out
basura 38280,basura ,trash
vine 38168,vine ,came
contacto 38028,contacto ,Contact
esposo 38011,esposo ,husband
tren 37976,tren ,train
encontramos 37952,encontramos ,we find
dale 37876,dale ,Go ahead
verdadero 37844,verdadero ,TRUE
tuya 37837,tuya ,yours
alma 37824,alma ,soul
hazlo 37804,hazlo ,do it
disculpa 37801,disculpa ,sorry
junto 37794,junto ,together
anda 37779,anda ,walk
tendré 37662,tendré ,I will have
matrimonio 37656,matrimonio ,marriage
saberlo 37540,saberlo ,know
locura 37525,locura ,craziness
oro 37500,oro ,gold
permiso 37465,permiso ,permission
director 37428,director ,director
peligro 37415,peligro ,danger
libertad 37412,libertad ,freedom
alegro 37403,alegro ,glad
baja 37298,baja ,short
tendremos 37262,tendremos ,we will have
derecha 37262,derecha ,right
encuentra 37241,encuentra ,finds
pies 37222,pies ,feet
segunda 37192,segunda ,second
maravilloso 37115,maravilloso ,marvelous
espacio 37114,espacio ,space
rato 37101,rato ,a while
abuelo 37062,abuelo ,grandfather
esperaba 37031,esperaba ,I expected
mirando 37030,mirando ,looking
salud 37016,salud ,health
sorpresa 37012,sorpresa ,surprise
ninguno 37007,ninguno ,none
miren 37000,miren ,Look
triste 36968,triste ,sad
aun 36908,aun ,still
pensado 36904,pensado ,thought-out
maestro 36887,maestro ,teacher
según 36882,según ,according to
infierno 36835,infierno ,hell
podrían 36824,podrían ,could
tipos 36703,tipos ,guys
tía 36607,tía ,aunt
crimen 36579,crimen ,crime
conocido 36564,conocido ,acquaintance
consejo 36446,consejo ,tip
ante 36426,ante ,in view of
iglesia 36300,iglesia ,church